Class Name,Community,Rural Or Urban,Batch,District,Self Selected,Enrolled,Status
GBANDABILA,GBANDABILA,Rural,Batch 5,East Mamprusi,79,79,Mentoring
NGBERIBOK,NGBERIBOK,Rural,Batch 5,Nabdam,107,107,Mentoring
SILINGA,SILINGA,Rural,Batch 5,West Mamprusi,56,56,Mentoring
KALBOYIRI,KALBOYIRI,Rural,Batch 5,East Mamprusi,77,77,Disbursement
GBINGBANE,GBINGBANE,Rural,Batch 5,Yunyoo-Nasuan District,0,0,Planning
TIEDEMA,TIEDEMA,Rural,Batch 5,Builsa North,120,120,Mentoring
KAMPOUD,KAMPOUD,Rural,Batch 5,Pusiga,62,62,Mentoring
WENCHIKI,WENCHIKI,Rural,Batch 5,Chereponi,149,149,Disbursement
UWASI,UWASI ABAAYERIL,Rural,Batch 5,Builsa South,144,144,Disbursement
SUKPENDI,SUKPENDI,Rural,Batch 5,Chereponi,38,38,Disbursement
TAMBIIGO,TAMBIIGO,Rural,Batch 5,Pusiga,73,73,Formation
KULBIA CLUSTER (D),KULBIA*,Urban,Batch 5,Bolgatanga Municipal,168,168,Disbursement
BIU CLUSTER,KAPANIA,Urban,Batch 5,Kassena-Nankana Municipal,52,52,Formation
YUA CLUSTER,YUA ATIZIGABISI,Urban,Batch 5,Kassena-Nankana Municipal,153,153,Formation
BINDURI DA PWD cluster A,Kumpalgoga,Rural,Batch 6 (PWD),Binduri,25,17,Planning
BAWKU WEST DA PWD cluster A,Yikurugu,Rural,Batch 6 (PWD),Bawku West,8,8,Planning
BUILSA SOUTH DA PWD cluster B,Bachongsa,Rural,Batch 6 (PWD),Builsa South,12,10,Planning
EAST MAMPRUSI DA PWD cluster A,Wundua,Rural,Batch 6 (PWD),East Mamprusi,19,17,Planning
Wakwan(Waugkpesir),Wakwan(Waugkpesir),Rural,Batch 4,Garu,40,40,Mentoring
SUMADURI,SUMADURI,Rural,Batch 4,Tempane,32,32,Mentoring
NARANZUA,NARANZUA,Rural,Batch 5,Bawku Municipal,95,95,Mentoring
KAMBATIAK  NAAGOR,KAMBATIAK  NAAGOR,Rural,Batch 5,Bunkpurugu-Nakpanduri,153,153,Mentoring
BINDE,BINDE,Rural,Batch 5,Bunkpurugu-Nakpanduri,91,91,Mentoring
DUUSI-ZORE,DUUSI-ZORE,Rural,Batch 5,Talensi,100,100,Mentoring
TUMONG,TUMONG,Rural,Batch 5,Tempane,35,35,Mentoring
MISSIGA,MISSIGA,Rural,Batch 5,Bawku Municipal,68,68,Mentoring
SAKPARI,SAKPARI,Rural,Batch 5,Binduri,106,106,Mentoring
TINDONGO/ZORE,TINDONGO/ZORE,Rural,Batch 5,Talensi,118,118,Mentoring
KPAFUA,KPAFUA,Rural,Batch 5,Tempane,26,26,Mentoring
NABULIK,NABULIK,Rural,Batch 5,Bunkpurugu-Nakpanduri,152,152,Formation
MANGOR,MANGOR,Rural,Batch 5,Yunyoo-Nasuan District,157,156,Disbursement
NYORUGO-SABO GERI,NYORUGO-SABO GERI,Rural,Batch 5,Bawku Municipal,77,77,Disbursement
ZUARUNGU CLUSTER ,DACHIO*,Urban,Batch 5,Bolgatanga Municipal,76,76,Disbursement
BOLGA CENTRAL CLUSTER (A),YIKENE AGONDOO (AKURUBIRE'S HOUSE),Urban,Batch 5,Bolgatanga Municipal,39,39,Disbursement
PUNGU CLUSTER,YITONIA,Urban,Batch 5,Kassena-Nankana Municipal,160,160,Formation
VUNANIA CLUSTER,VUNANIA,Urban,Batch 5,Kassena-Nankana Municipal,87,87,Formation
TENORGO,TENORGO,Rural,Batch 5,Binduri,62,62,Formation
KINADABOTE,KINADABOTE,Rural,Batch 5,Bawku West,43,43,Mentoring
BUILSA NORTH DA PWD cluster A,Chuchuliga/Awenaguuk,Rural,Batch 6 (PWD),Builsa North,14,14,Enrolment
BUILSA SOUTH DA PWD cluster A,Bachongsa,Rural,Batch 6 (PWD),Builsa South,59,55,Planning
EAST MAMPRUSI DA PWD cluster B,Wundua,Rural,Batch 6 (PWD),East Mamprusi,45,35,Planning
TALENSI DA PWD cluster B,Gbeogo,Rural,Batch 6 (PWD),Talensi,0,0,Planning
NANSUAN,NANSUAN,Rural,Batch 5,Yunyoo-Nasuan District,54,54,Disbursement
BUBONG,BUBONG,Rural,Batch 5,Yunyoo-Nasuan District,49,49,Disbursement
KANJARGA,KANJARGA,Rural,Batch 5,Builsa South,26,26,Mentoring
GARU-SIGURI (KUGRASIA),GARU-SIGURI (KUGRASIA),Rural,Batch 5,Garu,73,73,Mentoring
KULGONA/LANGBINA/ZIKAYA,KULGONA/LANGBINA/ZIKAYA,Rural,Batch 5,East Mamprusi,85,85,Disbursement
Zamwengo,ZAMWENGO,Rural,Batch 5,Bongo,60,60,Disbursement
TAMBUKU,TAMBUKU,Rural,Batch 5,East Mamprusi,59,59,Disbursement
Zopeliga-Dagliga,Zopeliga-Dagliga,Rural,Batch 5,Nabdam,65,65,Disbursement
ABEMPINGO CLUSTER,ABEMPINGO,Urban,Batch 5,Kassena-Nankana Municipal,64,64,Formation
ATOSALE CLUSTER,ATOSALE,Urban,Batch 5,Kassena-Nankana Municipal,81,81,Formation
TEMPANE DA PWD cluster B,Bugpiigu ,Rural,Batch 6 (PWD),Tempane,11,8,Planning
YUNYOO-NASUAN DA PWD cluster A,Majeefuuk,Rural,Batch 6 (PWD),Yunyoo-Nasuan District,39,32,Planning
SARABOGO/ZUULUGU,SARABOGO/ZUULUGU,Rural,Batch 5,Binduri,94,94,Mentoring
ATAMPINTIN,ATAMPINTIN,Rural,Batch 5,Bongo,71,71,Mentoring
GBETUASIG (GBAMBIID),GBETUASIG (GBAMBIID),Rural,Batch 5,Garu,68,68,Mentoring
KUGPEILLA (MENKPASIR),KUGPEILLA (MENKPASIR),Rural,Batch 5,Garu,61,61,Mentoring
FUMBISI SOUTH,FUMBISI SOUTH,Rural,Batch 4,Builsa South,28,28,Mentoring
SODOTI,SODOTI,Rural,Batch 5,Chereponi,107,107,Disbursement
FUMBISI NAADEMA,FUMBISI NAADEMA,Rural,Batch 5,Builsa South,39,39,Mentoring
TANZEE,TANZEE,Rural,Batch 5,Nabdam,97,97,Mentoring
Pwalugu-Manpelugu,PWALUGU,Rural,Batch 5,Talensi,71,71,Disbursement
Akuyelingo - Tingre -Wegurigo,AKUYELINGO,Rural,Batch 5,Bongo,39,39,Disbursement
GAMBAGA E. MAMPRUSI*,GAMBAGA E. MAMPRUSI*,Rural,Batch 5,East Mamprusi,42,42,Disbursement
